year,rating,num_reviews,body,acidity,price
2004,4.5,102,2,3,40.33
2015,4.5,99,4,3,302.5
2016,4.5,99,5,3,62
2018,4.5,97,4,3,49.1
2015,4.5,97,4,3,75
2011,4.5,96,4,3,200.13
1973,4.5,95,5,1,113
2018,4.5,94,4,3,68.40597214
2012,4.5,92,4,2,37.5
2012,4.5,88,4,2,165
2016,4.5,88,4,3,415
2014,4.5,87,5,3,74
2007,4.5,82,2,3,192.16
2009,4.5,81,4,3,59.82
2016,4.5,81,4,3,164.9
,4.5,81,4,3,94.9
,4.5,81,4,3,199
2018,4.5,81,4,3,85.95
2000,4.5,81,4,3,125.05
2018,4.5,82,5,3,85.55
2016,4.5,80,4,3,317.75
2010,4.5,79,5,3,35
1981,4.5,78,3,3,274.95
2014,4.5,78,4,3,82.55
2019,4.5,76,4,3,63.9
2017,4.5,75,5,3,29.95
2009,4.5,75,5,3,312.6
2017,4.5,75,4,3,58.95
2010,4.5,74,4,2,99.35
2015,4.5,73,5,3,49.5
2015,4.5,73,4,3,234.98
2010,4.5,74,4,3,78.5
2015,4.5,72,4,3,56.95
2015,4.5,72,4,3,40
2016,4.5,71,4,2,100
2017,4.5,71,4,3,79.9
2012,4.5,70,5,3,63.5
2017,4.5,69,4,3,38.9
2011,4.5,69,5,3,154.5
2012,4.5,69,4,3,374.66
2015,4.5,66,4,2,143.51
2014,4.5,66,5,3,59.95
1998,4.5,66,4,3,467.65
2012,4.5,66,3,3,65.5
2011,4.5,65,4,3,88.5
,4.5,61,4,3,25.92
2002,4.5,61,4,3,95
2012,4.5,61,5,3,559.02
2012,4.5,60,4,3,115.85
1969,4.5,60,5,3,976.83
2005,4.5,59,4,3,266.81
2017,4.5,59,4,3,26.9
2015,4.5,58,4,2,89.66
2016,4.5,57,5,3,64.3
1987,4.5,57,4,3,190
2004,4.5,56,4,3,141.2
2007,4.5,55,5,3,32
1994,4.5,54,4,3,61
1964,4.5,54,4,3,140
1951,4.5,53,5,1,169.95
2014,4.5,53,5,3,49.9
2006,4.5,53,4,3,65.9
2019,4.5,52,5,3,25.9
2013,4.5,51,5,3,58.19
2013,4.5,51,5,3,295
2016,4.5,50,4,3,35.5
2013,4.5,49,2,3,53.7
2019,4.5,49,3,3,9.9
2006,4.5,48,5,3,40.83333333
2010,4.5,47,5,3,299.2868409
2009,4.5,49,4,3,43.6838985
2003,4.5,46,4,3,1372.14
2016,4.5,46,4,3,79.55
2013,4.5,46,4,3,57
2013,4.5,45,,,14.96
2011,4.5,44,5,3,60.06
2010,4.5,44,5,3,237
1998,4.5,43,4,3,993.28
2014,4.5,43,5,3,71.9
1928,4.5,43,4,3,270
2000,4.5,42,4,3,48.5
2005,4.5,42,4,3,200
2004,4.5,42,4,3,107.5
2016,4.5,42,5,3,77.5
2019,4.5,41,3,3,32.9
2015,4.5,40,4,3,93.51
,4.5,39,4,3,96.38
2011,4.5,38,4,3,75
2010,4.5,38,5,3,44.95
2017,4.5,37,4,3,75
2015,4.5,37,5,3,143.38
1976,4.5,37,5,3,195
2018,4.5,36,4,3,20.15
2015,4.5,36,4,3,1373.66
,4.5,36,5,1,320
2011,4.5,35,5,3,157
1949,4.5,34,5,1,295
2019,4.5,33,5,3,29.95
2001,4.5,33,4,3,187.91
2013,4.5,32,4,3,113.2
2018,4.5,32,3,3,120
2015,4.5,32,4,3,89.9
2006,4.5,32,4,3,59.25
2016,4.5,32,4,3,89
2011,4.5,32,5,3,71.3
2018,4.5,32,3,3,34.5
1975,4.5,31,5,3,195
2004,4.5,31,4,3,160.81
2018,4.5,31,,,38.75
2017,4.5,30,4,3,75.04
1991,4.5,30,4,3,230
2019,4.5,30,4,2,40
2018,4.5,30,4,3,225
2016,4.5,29,4,3,69
2016,4.5,29,5,3,55.14
1986,4.5,29,5,3,90
2017,4.5,29,4,3,56.5
2017,4.5,28,4,3,54.9
2016,4.5,28,4,3,132.95
2002,4.5,28,2,3,142
2014,4.5,28,4,3,53.25
2019,4.5,27,4,3,16.9
2021,4.5,27,3,3,13.45
2018,4.5,27,,,29.5
2019,4.4,27,,,29.9168517
2007,4.5,26,,,69
2015,4.5,26,,,73
2017,4.5,26,,,51.5
2013,4.5,25,,,38
2009,4.4,6395,,,189
2011,4.4,5732,,,39.5
2012,4.4,5614,,,89.9
2013,4.4,5204,,,76.8
2009,4.4,5109,,,47.5
2016,4.4,4851,,,31.5
2011,4.4,4625,,,47.95
2007,4.4,4357,,,47.95
2018,4.4,4121,,,38.61
2016,4.4,3589,,,27.9
2017,4.4,3456,,,37.25
2016,4.4,3406,,,37.8
2010,4.4,3327,,,61.55
2011,4.4,3197,,,43.95
2018,4.4,3095,,,31.95
2017,4.4,3093,,,25.5
2014,4.4,3089,,,35.65
2012,4.4,2546,,,125
2013,4.4,2418,,,125
2015,4.4,2370,4,3,23
2009,4.4,2228,4,3,43.5
2010,4.4,2133,4,3,24.7
2017,4.4,2080,5,3,27.4
2007,4.4,2053,5,3,96
2016,4.4,1993,4,3,37.52
2011,4.4,1949,4,3,43.95
2017,4.4,1948,5,3,19.6
2004,4.4,1943,4,3,160
2012,4.4,1853,4,3,43.5
2018,4.4,1842,5,3,27.75
2018,4.4,1777,5,3,32.5
2019,4.4,1701,4,3,29.45
2017,4.4,1561,5,3,51.52682717
2010,4.4,1519,4,3,216
2006,4.4,1514,5,3,119.7
2006,4.4,1475,4,3,66.73
2015,4.4,1463,4,3,39.95
2018,4.4,1438,5,3,32.01
2016,4.4,1372,5,3,28.9
2017,4.4,1339,5,3,36
